Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58691E+12,Europe/London,15. 04. 2020 0:11,15. 04. 2020 7:59,15. 04. 2020 8:15,7.8,4,,10007,-1,-1,8,0.31914893,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58682E+12,Europe/London,13. 04. 2020 23:37,14. 04. 2020 7:51,14. 04. 2020 8:15,8.24,3.75,,10007,-1,-1,5,0.28282827,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58665E+12,Europe/London,12. 04. 2020 0:19,12. 04. 2020 8:08,12. 04. 2020 8:15,7.81,4,,10007,-1,-1,6,0.35106382,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58656E+12,Europe/London,11. 04. 2020 0:05,11. 04. 2020 7:49,11. 04. 2020 8:00,7.73,3.5, #sport_3x,10007,-1,-1,5,0.2580645,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58647E+12,Europe/London,09. 04. 2020 23:52,10. 04. 2020 8:05,10. 04. 2020 8:00,8.22,3.5,,10007,-1,-1,6,0.22222222,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.5863E+12,Europe/London,07. 04. 2020 22:38,08. 04. 2020 7:57,08. 04. 2020 8:00,9.33,3.75, #fullmoon,10007,-1,-1,9,0.4107143,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58613E+12,Europe/London,05. 04. 2020 23:52,06. 04. 2020 8:08,06. 04. 2020 8:15,8.28,0, #sport,10007,-1,-1,8,0.38,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58561E+12,Europe/London,31. 03. 2020 0:17,31. 03. 2020 7:59,31. 03. 2020 8:15,7.7,3.5,,10007,-1,-1,8,0.48387095,-6
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58552E+12,Europe/London,30. 03. 2020 0:19,30. 03. 2020 8:02,30. 03. 2020 8:15,7.71,0,,10007,-1,-1,6,0.33333334,-12
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58544E+12,Europe/London,29. 03. 2020 0:01,29. 03. 2020 8:04,29. 03. 2020 8:15,7.05,0, #watch,10007,-1,-1,13,0.45882353,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58535E+12,Europe/London,28. 03. 2020 0:07,28. 03. 2020 8:09,28. 03. 2020 8:15,8.04,3.75, #sport_2x,10007,-1,-1,4,0.21111111,-4
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58527E+12,Europe/London,27. 03. 2020 0:03,27. 03. 2020 8:00,27. 03. 2020 8:15,7.94,0,,10007,-1,-1,6,0.26041666,-7
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58518E+12,Europe/London,25. 03. 2020 23:58,26. 03. 2020 7:57,26. 03. 2020 8:00,7.98,0,,10007,-1,-1,7,0.38541666,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.5851E+12,Europe/London,25. 03. 2020 0:38,25. 03. 2020 7:36,25. 03. 2020 8:00,6.97,2.5, #newmoon,10007,-1,-1,4,0.25,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58501E+12,Europe/London,24. 03. 2020 0:11,24. 03. 2020 7:32,24. 03. 2020 8:00,7.35,0, #watch #newmoon,10007,-1,-1,1,0.98876405,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58495E+12,Europe/London,23. 03. 2020 6:32,23. 03. 2020 8:04,24. 03. 2020 7:00,1.54,0, #watch,10007,-1,-1,0,0,-72
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58492E+12,Europe/London,23. 03. 2020 0:33,23. 03. 2020 6:31,23. 03. 2020 7:00,5.97,0, #watch,10007,-1,-1,12,0.45833334,-87
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58484E+12,Europe/London,22. 03. 2020 0:38,22. 03. 2020 6:33,22. 03. 2020 7:00,5.92,0, #watch      #geo1,10007,-1,-1,6,0.33802816,-39
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58475E+12,Europe/London,21. 03. 2020 0:34,21. 03. 2020 7:39,21. 03. 2020 8:00,7.07,3.5,  #geo1,10007,-1,-1,7,0.34117648,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58466E+12,Europe/London,20. 03. 2020 0:35,20. 03. 2020 7:34,20. 03. 2020 8:00,6.98,0, #watch      #geo1,10007,-1,-1,8,0.41666666,-126
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58458E+12,Europe/London,19. 03. 2020 0:45,19. 03. 2020 8:39,31. 03. 2020 2:25,7.9,2.75, #watch    #geo1,10007,-1,-1,12,0.4631579,-143
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58449E+12,Europe/London,18. 03. 2020 0:33,18. 03. 2020 8:36,30. 03. 2020 2:13,8.06,3.5, #watch   #geo1,10007,-1,-1,9,0.39175257,-87
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58441E+12,Europe/London,17. 03. 2020 0:37,17. 03. 2020 8:15,29. 03. 2020 2:18,7.63,3,  #geo1,10007,-1,-1,8,0.54347825,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
